original_name	extId	id	lat	lon	name
Berlin	8011160	A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8011160@B=1@p=1715799947@i=U×008065969@	52.524925	13.369629	Berlin Hbf
Hamburg	8002549	A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@B=1@p=1715799947@i=U×008001071@	53.55353	10.00636	Hamburg Hbf
Essen	8000098	A=1@O=Essen Hbf@X=7014795@Y=51451351@U=80@L=8000098@B=1@p=1715799947@i=U×008010184@	51.451378	7.01386	Essen Hbf
Bremen	8000050	A=1@O=Bremen Hbf@X=8813833@Y=53083478@U=80@L=8000050@B=1@p=1715799947@i=U×008013751@	53.08328	8.813681	Bremen Hbf
Dresden	8010085	A=1@O=Dresden Hbf@X=13732039@Y=51040562@U=80@L=8010085@B=1@p=1715799947@i=U×008006050@	51.040222	13.731409	Dresden Hbf
Hannover	8000152	A=1@O=Hannover Hbf@X=9741017@Y=52376764@U=80@L=8000152@B=1@p=1715799947@i=U×008013552@	52.37708	9.741763	Hannover Hbf
Nürnberg	8000284	A=1@O=Nürnberg Hbf@X=11082989@Y=49445615@U=80@L=8000284@B=1@p=1715799947@i=U×008022193@	49.445435	11.08227	Nürnberg Hbf
Duisburg	8000086	A=1@O=Duisburg Hbf@X=6775907@Y=51429786@U=80@L=8000086@B=1@p=1715799947@i=U×008010316@	51.429615	6.77606	Duisburg Hbf
Bochum	8000041	A=1@O=Bochum Hbf@X=7223273@Y=51478607@U=80@L=8000041@B=1@p=1715799947@i=U×008010179@	51.47849	7.223264	Bochum Hbf
Wuppertal	8000266	A=1@O=Wuppertal Hbf@X=7149544@Y=51254362@U=80@L=8000266@B=1@p=1715799947@i=U×008008143@	51.254444	7.150155	Wuppertal Hbf
Bielefeld	8000036	A=1@O=Bielefeld Hbf@X=8532723@Y=52029259@U=80@L=8000036@B=1@p=1715799947@i=U×008013597@	52.029423	8.532777	Bielefeld Hbf
Bonn	8000044	A=1@O=Bonn Hbf@X=7097136@Y=50732008@U=80@L=8000044@B=1@p=1715799947@i=U×008015485@	50.731964	7.096678	Bonn Hbf
Münster	8000263	A=1@O=Münster(Westf)Hbf@X=7635716@Y=51956563@U=80@L=8000263@B=1@p=1715799947@i=U×008021011@	51.956528	7.63586	Münster(Westf)Hbf
Marl	8003891	A=1@O=Marl-Sinsen@X=7173482@Y=51667749@U=80@L=8003891@B=1@p=1715799947@i=U×008010136@	51.667847	7.173473	Marl-Sinsen
Minden	8000252	A=1@O=Minden(Westf)@X=8934729@Y=52290135@U=80@L=8000252@B=1@p=1715799947@i=U×008013578@	52.290565	8.934442	Minden(Westf)
Velbert	8003529	A=1@O=Velbert-Langenberg@X=7122378@Y=51354762@U=80@L=8003529@B=1@p=1715799947@i=U×008008161@	51.354458	7.122207	Velbert-Langenberg
Norderstedt	8079027	A=1@O=Norderstedt Mitte@X=9992382@Y=53707689@U=80@L=8079027@B=1@p=1715799947@i=U×008059303@	53.706753	9.992436	Norderstedt Mitte
Bamberg	8000025	A=1@O=Bamberg@X=10899493@Y=49900757@U=80@L=8000025@B=1@p=1715799947@i=U×008022090@	49.90079	10.899493	Bamberg
Dessau-Roßlau	953806	A=1@O=Dessau Hauptbahnhof (Tram/Bus), Dessau-Roßlau@X=12236809@Y=51840306@U=80@L=953806@B=1@p=1715799947@	51.840305	12.236809	Dessau Hauptbahnhof (Tram/Bus), Dessau-Roßlau
Neumünster	8000271	A=1@O=Neumünster@X=9979815@Y=54075752@U=80@L=8000271@B=1@p=1715799947@i=U×008001295@	54.076336	9.980031	Neumünster
